municipality,year,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
Kaskinen,2009,3,1.9822211148126432,1.775188947234853,1.8444125197137762,1.7113363489043443,1.6239249820014185
Kaskinen,2010,3,1.9751009794906127,1.7629300926159381,1.8429415576334136,1.7050341350988127,1.6148887279551951
Kaskinen,2011,3,2.0165047785775654,1.7897621849510392,1.8759022075223928,1.7288932262033003,1.6344539721242142
Kaskinen,2012,3,2.0183417041986975,1.7946092977755785,1.8753012216378715,1.7309500200562529,1.6380130945647442
Kaskinen,2013,3,1.9951979555357477,1.7949704238345905,1.8485865290693768,1.7219764925585286,1.6384431626172415
Kaskinen,2014,3,1.9905337826954077,1.802024986044968,1.8397945420348458,1.7222656033199215,1.6436705799995412
Kaskinen,2015,3,2.0005226191260808,1.8081563461119317,1.8477333852369626,1.7277494661850874,1.6481080338973308
Kaskinen,2016,5,2.150091141552367,1.8587861003416515,1.8887363594433675,1.7540588098933707,1.668276768987567
Kaskinen,2017,5,2.144444308342313,1.8674767353734143,1.8757107240829483,1.752518971164723,1.6729645645839926
Kaskinen,2018,5,2.1964856125247483,1.8828688640543216,1.9159883816923169,1.7727784838106178,1.6833286731687718
Kaskinen,2019,6,2.3166222624879014,1.9264172926073668,1.9682767696713486,1.8087258213938713,1.7106935383675452
Kaskinen,2020,8,2.689065270860903,2.072641805415815,2.2202433024275865,1.9606108549177652,1.814739141312928
Kaskinen,2021,8,2.8056052317069273,2.1390410581427393,2.304855575877243,2.0232357325918437,1.8618059259752768
Kaskinen,2022,8,2.8676736012404813,2.164750582106341,2.333945022794264,2.04390116163142,1.8763191885091635
Kaskinen,2023,7,2.7631974660647822,2.153667514085919,2.307883975997962,2.032096026018651,1.872611854529477
Kaskinen,2024,7,3.02863466975046,2.3409925159323866,2.4579429189525417,2.171058883550136,1.9961055556670324
Kaskinen,2025,5,2.983409968057564,2.4045536956760265,2.519005434032802,2.238782450021077,2.058824542203074
Kauhajoki,1990,3,1.0179048838754647,1.004616849511844,1.015929524065171,1.0063982796955149,1.0039178849484085
Kauhajoki,1991,5,1.0326075031200346,1.0083285231626051,1.0264543447541588,1.0105565231230942,1.006517495488964
Kauhajoki,1992,4,1.0339012583788783,1.0090043129487785,1.022509365486721,1.009642049795201,1.0062240008315089
Kauhajoki,1993,4,1.0336378892858267,1.0089100085964178,1.0223083706497385,1.009584660529855,1.0061890707727361
Kauhajoki,1994,5,1.0389175755242464,1.0101131517283777,1.0286573139072814,1.0117976247845673,1.00743662165843
Kauhajoki,1995,5,1.0393282124174363,1.0101947834842604,1.0314197379374588,1.0126865566774121,1.0078817697761393
Kauhajoki,1996,5,1.0391501081898666,1.0101427391679891,1.0313684763875555,1.012688793951371,1.0078831873389096
Kauhajoki,1997,4,1.0320415847799516,1.0084499243516376,1.02929912570427,1.011725353366207,1.0071697611316663
Kauhajoki,1998,5,1.0380302008868965,1.0098771103067359,1.0297015162186758,1.0122426002481257,1.0076617769004124
Kauhajoki,1999,4,1.0338569552671495,1.0089806998638233,1.0314155930953508,1.0125121777581416,1.0076339116630453
Kauhajoki,2000,4,1.036707071832914,1.0097863731182886,1.0345798458535456,1.0136895933186088,1.0083317704139156
Kauhajoki,2001,5,1.0403719343306768,1.0105495221516627,1.0314206498819238,1.012988198372411,1.008142285096783
Kauhajoki,2002,5,1.0453763228487276,1.0119651046601676,1.0337290188158168,1.0140551968080411,1.008886274559135
Kauhajoki,2003,5,1.0467810024989428,1.012450002469014,1.033445171396735,1.0141317955055427,1.0090126466927705
Kauhajoki,2004,5,1.0480270468928115,1.0127772214612856,1.034661646416485,1.0144052269311636,1.0091473437902259
